valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2025-M08,month,CHFL,CHFL,all,agegroup_tick,all,13,9091915,0.14,101,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2025-M09,month,CHFL,CHFL,all,agegroup_tick,all,21,9091915,0.23,122,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2025-M10,month,CHFL,CHFL,all,agegroup_tick,all,18,9091915,0.2,140,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2025-M11,month,CHFL,CHFL,all,agegroup_tick,all,11,9091915,0.12,151,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2025-M12,month,CHFL,CHFL,all,agegroup_tick,all,6,9091915,0.07,157,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2026-M01,month,CHFL,CHFL,all,agegroup_tick,all,6,9091674,0.07,6,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2026-M02,month,CHFL,CHFL,all,agegroup_tick,all,6,9091674,0.07,12,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2026-M03,month,CHFL,CHFL,all,agegroup_tick,all,7,9091674,0.08,19,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2026-M04,month,CHFL,CHFL,all,agegroup_tick,all,12,9091674,0.13,31,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2026-M05,month,CHFL,CHFL,all,agegroup_tick,all,20,9091674,0.22,51,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2026-M06,month,CHFL,CHFL,all,agegroup_tick,all,22,9091674,0.24,73,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2026-M07,month,CHFL,CHFL,all,agegroup_tick,all,23,9091674,0.25,96,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2026-M08,month,CHFL,CHFL,all,agegroup_tick,all,8,9091674,0.09,104,NA,stagnant,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M01,month,CHFL,CHFL,all,agegroup_tick,all,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M02,month,CHFL,CHFL,all,agegroup_tick,all,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M03,month,CHFL,CHFL,all,agegroup_tick,all,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M04,month,CHFL,CHFL,all,agegroup_tick,all,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M05,month,CHFL,CHFL,all,agegroup_tick,all,3,NA,0.04,3,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M06,month,CHFL,CHFL,all,agegroup_tick,all,5,NA,0.06,8,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M07,month,CHFL,CHFL,all,agegroup_tick,all,5,NA,0.06,13,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M08,month,CHFL,CHFL,all,agegroup_tick,all,3,NA,0.04,22,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M09,month,CHFL,CHFL,all,agegroup_tick,all,2,NA,0.02,26,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M10,month,CHFL,CHFL,all,agegroup_tick,all,2,NA,0.02,28,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M11,month,CHFL,CHFL,all,agegroup_tick,all,0,NA,0,28,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M12,month,CHFL,CHFL,all,agegroup_tick,all,2,NA,0.02,30,NA,NA,NA,NA,NA,NA,NA,TRUE
